ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2984,Rwandan Improved Cookstove Project,Likano Project Development GmbH,Energy demand,,VMR0006,Registered,Rwanda,"1,306,180",Africa,2024-09-20,2022-06-21,2032-06-20
2983,Distribution Of high Efficient Cook Stoves,Green Solutions,Energy demand,,VMR0006,Registered,India,"49,197",,2024-01-15,2020-12-24,2027-12-23
2981,Installation of high efficiency wood burning cookstoves in Angola – Project 2,C-Quest Capital SG Angola Stoves Private Limited,Energy demand,,VMR0006,Registered,Angola,"2,567,788",Africa,2023-03-03,2021-09-01,2031-08-31
2977,Biomass Cogeneration Plant By SCOUL,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0006,Registered,Uganda,"18,861",Africa,2023-05-30,2021-07-19,2028-07-18
2971,OKA 2 PROJECT,Acacia Bateke Capital,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Congo,"19,976",Africa,2024-03-29,2020-08-01,2053-07-31
2966,"Installation Of Solar Milling Plants for Household In Zambia, Project- 1",Carbon Project Australia Pty Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.B.,Registered,Zambia,"23,199",Africa,2024-08-27,2020-08-01,2027-07-31
2968,Replacement of ICLs by LED lamps in India,AGS Carbon Advisory,Energy demand,,AMS-II.C.,Registered,India,"53,799",Asia,2023-02-10,2022-06-24,2032-06-23
2958,Lanao del Sur Bamboo Reforestation Project,"EcoPlanet Bamboo Group, LLC",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Philippines,"315,067",Asia,2023-12-01,2022-06-01,2042-05-31
2957,Wuhan Chenjiachong Landfill Gas Power Generation Project Phase II,"Wuhan Jianghuan OneCarbon Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"167,482",Asia,2022-10-01,2020-07-14,2030-07-13
2951,Liaoning Xinwang Swine Farm Manure Management System GHG Mitigation Project,"Kangping Xinwang agriculture and animal husbandry Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"201,850",Asia,2022-12-12,2020-08-01,2027-07-31
2938,Yunshui Wastewater Treatment Plant Project in Guangdong Province,"Yunshui Guangdong Environmental Protection Co., Ltd.",Waste handling and disposal,,AM0080,Registered,China,"83,042",Asia,2023-03-09,2020-09-03,2030-09-02
